['0.025', '0.025', '0.056', '0.025', '0.158', '0.158', '0.056', '165.06', '151.68']
['0.025', '0.025', '0.056', '0.025', '0.316', '0.316', '0.000', '45.23', '75.84']
['0.025', '0.025', '0.056', '0.025', '0.316', '0.316', '0.056', '26.89', '75.84']
['0.025', '0.025', '0.056', '0.037', '0.056', '0.000', '0.000', '89.15', '179.26']
['0.025', '0.025', '0.056', '0.037', '0.056', '0.000', '0.056', '86.94', '172.37']
['0.025', '0.025', '0.056', '0.037', '0.112', '0.000', '0.000', '73.08', '186.16']
['0.025', '0.025', '0.056', '0.037', '0.112', '0.000', '0.056', '48.13', '158.58']
['0.025', '0.025', '0.056', '0.037', '0.167', '0.000', '0.000', '66.47', '179.26']
['0.025', '0.025', '0.056', '0.037', '0.167', '0.000', '0.056', '56.05', '172.37']
['0.025', '0.025', '0.056', '0.037', '0.223', '0.000', '0.000', '57.78', '131.00']
['0.025', '0.025', '0.056', '0.037', '0.223', '0.000', '0.056', '35.37', '89.63']
['0.025', '0.025', '0.056', '0.037', '0.335', '0.000', '0.000', '52.19', '103.42']
['0.025', '0.025', '0.056', '0.037', '0.335', '0.000', '0.056', '33.65', '96.53']
['0.025', '0.025', '0.056', '0.037', '0.446', '0.000', '0.000', '52.12', '89.63']
['0.025', '0.025', '0.056', '0.037', '0.446', '0.000', '0.112', '34.96', '89.63']
['0.025', '0.025', '0.056', '0.037', '0.079', '0.079', '0.000', '96.46', '172.37']
['0.025', '0.025', '0.056', '0.037', '0.079', '0.079', '0.056', '74.46', '165.47']
['0.025', '0.025', '0.056', '0.037', '0.158', '0.158', '0.000', '91.22', '103.42']
['0.025', '0.025', '0.056', '0.037', '0.158', '0.158', '0.056', '111.56', '124.11']
['0.025', '0.025', '0.056', '0.037', '0.316', '0.316', '0.000', '38.75', '68.95']
['0.025', '0.025', '0.056', '0.037', '0.316', '0.316', '0.056', '26.61', '68.95']
['0.013', '0.013', '0.030', '0.013', '0.030', '0.000', '0.000', '228.49', '220.63']
['0.013', '0.013', '0.030', '0.013', '0.030', '0.000', '0.030', '256.14', '517.11']
['0.013', '0.013', '0.030', '0.013', '0.060', '0.000', '0.000', '182.57', '124.11']
['0.013', '0.013', '0.030', '0.013', '0.060', '0.000', '0.030', '328.40', '606.74']
['0.013', '0.013', '0.030', '0.013', '0.089', '0.000', '0.000', '163.82', '124.11']
['0.013', '0.013', '0.030', '0.013', '0.119', '0.000', '0.000', '90.74', '172.37']
['0.013', '0.013', '0.030', '0.013', '0.119', '0.000', '0.030', '33.85', '131.00']
['0.013', '0.013', '0.030', '0.013', '0.179', '0.000', '0.000', '51.92', '144.79']
['0.013', '0.013', '0.030', '0.013', '0.179', '0.000', '0.030', '35.58', '137.90']
['0.013', '0.013', '0.030', '0.013', '0.238', '0.000', '0.000', '40.61', '144.79']
['0.013', '0.013', '0.030', '0.013', '0.238', '0.000', '0.060', '33.58', '131.00']
['0.013', '0.013', '0.030', '0.013', '0.042', '0.042', '0.000', '251.66', '248.21']
['0.013', '0.013', '0.030', '0.013', '0.042', '0.042', '0.030', '367.49', '551.58']
['0.013', '0.013', '0.030', '0.013', '0.084', '0.084', '0.000', '180.50', '165.47']
['0.013', '0.013', '0.030', '0.013', '0.084', '0.084', '0.030', '221.11', '193.05']
['0.013', '0.013', '0.030', '0.013', '0.168', '0.168', '0.000', '80.19', '110.32']
['0.013', '0.013', '0.030', '0.013', '0.168', '0.168', '0.030', '42.95', '96.53']
['0.013', '0.013', '0.030', '0.013', '0.030', '0.000', '0.000', '94.53', '186.16']
['0.013', '0.013', '0.030', '0.013', '0.030', '0.000', '0.030', '191.26', '213.74']
