,Table. Test 3+4+6+7+8+10+11 RESULTS,,,,,,,,,,
With Canopy,,,,,,,,,,ndata,124
Data with only values,,,,,,,,,,,
,,,,Inputs,,,,Outputs,,,
Test,Gage,"Charge weights
C4","Range
R","Charge weights
TNT","Range
Rx","Range
Ry","Elevation
h","Peak Side-on 
Overpressure",Total impulse,,
No.,No.,(kg),(m),(kg),(m),(m),(m),(kPa),(kPa-msec),,
,F3-2,3.629,2.057,4.097,2.057,0,0.686,56.05,172.37,,
,F4-1,3.629,2.743,4.097,2.743,0,0.000,57.78,131.00,,
,F4-2,3.629,2.743,4.097,2.743,0,0.686,35.37,89.63,,
,F6-1,3.629,4.115,4.097,4.115,0,0.000,52.19,103.42,,
,F6-2,3.629,4.115,4.097,4.115,0,0.686,33.65,96.53,,
,F8-1,3.629,5.486,4.097,5.486,0,0.000,52.12,89.63,,
,F8-2,3.629,5.486,4.097,5.486,0,1.372,34.96,89.63,,
,S2-1,3.629,1.372,4.097,0.970,0.970,0.000,96.46,172.37,,
,S2-2,3.629,1.372,4.097,0.970,0.970,0.686,74.46,165.47,,
,S4-1,3.629,2.743,4.097,1.940,1.940,0.000,91.22,103.42,,
,S4-2,3.629,2.743,4.097,1.940,1.940,0.686,111.56,124.11,,
,S8-1,3.629,5.486,4.097,3.879,3.879,0.000,38.75,68.95,,
,S8-2,3.629,5.486,4.097,3.879,3.879,0.686,26.61,68.95,,
9,F1-1,6.804,0.686,7.682,0.686,0,0.000,228.49,220.63,,
,F1-2,6.804,0.686,7.682,0.686,0,0.686,256.14,517.11,,
,F2-1,6.804,1.372,7.682,1.372,0,0.000,182.57,124.11,,
,F2-2,6.804,1.372,7.682,1.372,0,0.686,328.40,606.74,,
,F3-1,6.804,2.057,7.682,2.057,0,0.000,163.82,124.11,,
,F4-1,6.804,2.743,7.682,2.743,0,0.000,90.74,172.37,,
,F4-2,6.804,2.743,7.682,2.743,0,0.686,33.85,131.00,,
,F6-1,6.804,4.115,7.682,4.115,0,0.000,51.92,144.79,,
,F6-2,6.804,4.115,7.682,4.115,0,0.686,35.58,137.90,,
,F8-1,6.804,5.486,7.682,5.486,0,0.000,40.61,144.79,,
,F8-2,6.804,5.486,7.682,5.486,0,1.372,33.58,131.00,,
,S2-1,6.804,1.372,7.682,0.970,0.970,0.000,251.66,248.21,,
,S2-2,6.804,1.372,7.682,0.970,0.970,0.686,367.49,551.58,,
,S4-1,6.804,2.743,7.682,1.940,1.940,0.000,180.50,165.47,,
,S4-2,6.804,2.743,7.682,1.940,1.940,0.686,221.11,193.05,,
,S8-1,6.804,5.486,7.682,3.879,3.879,0.000,80.19,110.32,,
,S8-2,6.804,5.486,7.682,3.879,3.879,0.686,42.95,96.53,,
10,F1-1,6.804,0.686,7.682,0.686,0,0.000,94.53,186.16,,
,F1-2,6.804,0.686,7.682,0.686,0,0.686,191.26,213.74,,
,F2-1,6.804,1.372,7.682,1.372,0,0.000,170.09,275.79,,
,F2-2,6.804,1.372,7.682,1.372,0,0.686,262.97,358.53,,
,F3-1,6.804,2.057,7.682,2.057,0,0.000,154.72,262.00,,
,F4-1,6.804,2.743,7.682,2.743,0,0.000,82.39,179.26,,
,F4-2,6.804,2.743,7.682,2.743,0,0.686,35.92,131.00,,
,F6-1,6.804,4.115,7.682,4.115,0,0.000,55.50,158.58,,
,F6-2,6.804,4.115,7.682,4.115,0,0.686,36.96,144.79,,
,F8-1,6.804,5.486,7.682,5.486,0,0.000,55.16,151.68,,
,F8-2,6.804,5.486,7.682,5.486,0,1.372,47.30,131.00,,
,S2-1,6.804,1.372,7.682,0.970,0.970,0.000,244.90,255.11,,
,S2-2,6.804,1.372,7.682,0.970,0.970,0.686,254.62,199.95,,
,S4-1,6.804,2.743,7.682,1.940,1.940,0.000,153.48,158.58,,
,S4-2,6.804,2.743,7.682,1.940,1.940,0.686,235.87,213.74,,
,S8-1,6.804,5.486,7.682,3.879,3.879,0.000,76.26,110.32,,
,S8-2,6.804,5.486,7.682,3.879,3.879,0.686,43.16,103.42,,
