['7.682', '5.486', '0', '0.000', '40.61', '144.79']
['7.682', '5.486', '0', '1.372', '33.58', '131.00']
['7.682', '0.970', '0.970', '0.000', '251.66', '248.21']
['7.682', '0.970', '0.970', '0.686', '367.49', '551.58']
['7.682', '1.940', '1.940', '0.000', '180.50', '165.47']
['7.682', '1.940', '1.940', '0.686', '221.11', '193.05']
['7.682', '3.879', '3.879', '0.000', '80.19', '110.32']
['7.682', '3.879', '3.879', '0.686', '42.95', '96.53']
['7.682', '0.686', '0', '0.000', '94.53', '186.16']
['7.682', '0.686', '0', '0.686', '191.26', '213.74']
['7.682', '1.372', '0', '0.000', '170.09', '275.79']
['7.682', '1.372', '0', '0.686', '262.97', '358.53']
['7.682', '2.057', '0', '0.000', '154.72', '262.00']
['7.682', '2.743', '0', '0.000', '82.39', '179.26']
['7.682', '2.743', '0', '0.686', '35.92', '131.00']
['7.682', '4.115', '0', '0.000', '55.50', '158.58']
['7.682', '4.115', '0', '0.686', '36.96', '144.79']
['7.682', '5.486', '0', '0.000', '55.16', '151.68']
['7.682', '5.486', '0', '1.372', '47.30', '131.00']
['7.682', '0.970', '0.970', '0.000', '244.90', '255.11']
['7.682', '0.970', '0.970', '0.686', '254.62', '199.95']
['7.682', '1.940', '1.940', '0.000', '153.48', '158.58']
['7.682', '1.940', '1.940', '0.686', '235.87', '213.74']
['7.682', '3.879', '3.879', '0.000', '76.26', '110.32']
['7.682', '3.879', '3.879', '0.686', '43.16', '103.42']
