,Table. Test 3+4+6+7+8+10+11 RESULTS,,,,,,,,,,,,,,,,,
With Canopy,,,,,,,,,,,,,,,,,ndata,124
Data with only values,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Inputs,,,,,Outputs,,,
Test,Gage,"Charge weights
C4","Charge weights
TNT","Wall height
H","Canopy length
Lc","Range
R","Range
Rx","Range
Ry","Elevation
h",H/W1/3,Lc/W1/3,Rx/W1/3,Ry/W1/3,h/W1/3,"Peak Side-on 
Overpressure",Total impulse,,
No.,No.,(kg),(kg),(m),(m),(m),(m),(m),(m),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(kPa),(kPa-msec),,
,F3-1,3.629,4.097,0.6858,0.3048,2.057,2.057,0.000,0.000,0.056,0.025,0.167,0.000,0.000,119.42,199.95,,
,F3-2,3.629,4.097,0.6858,0.3048,2.057,2.057,0.000,0.686,0.056,0.025,0.167,0.000,0.056,66.95,199.95,,
,F4-1,3.629,4.097,0.6858,0.3048,2.743,2.743,0.000,0.000,0.056,0.025,0.223,0.000,0.000,96.11,144.79,,
,F4-2,3.629,4.097,0.6858,0.3048,2.743,2.743,0.000,0.686,0.056,0.025,0.223,0.000,0.056,37.58,96.53,,
,F6-1,3.629,4.097,0.6858,0.3048,4.115,4.115,0.000,0.000,0.056,0.025,0.335,0.000,0.000,64.33,117.21,,
,F6-2,3.629,4.097,0.6858,0.3048,4.115,4.115,0.000,0.686,0.056,0.025,0.335,0.000,0.056,40.33,103.42,,
,F8-1,3.629,4.097,0.6858,0.3048,5.486,5.486,0.000,0.000,0.056,0.025,0.446,0.000,0.000,41.16,103.42,,
,F8-2,3.629,4.097,0.6858,0.3048,5.486,5.486,0.000,1.372,0.056,0.025,0.446,0.000,0.112,33.51,89.63,,
,S2-1,3.629,4.097,0.6858,0.3048,1.372,0.970,0.970,0.000,0.056,0.025,0.079,0.079,0.000,128.52,186.16,,
,S2-2,3.629,4.097,0.6858,0.3048,1.372,0.970,0.970,0.686,0.056,0.025,0.079,0.079,0.056,134.10,172.37,,
