Ladungsmenge Q,Abstand R,einfallender Spitzenüberdruck Pso,reflektierter Spitzenüberdruck Pr,einfallender Impuls is,reflektierter Impuls ir,Schockwellengeschwindigkeit u,Ankunftszeit ta,Dauer der Druckphase td,einfallender Spitzenüberdruck Pso,reflektierter Spitzenüberdruck Pr,einfallender Impuls is,reflektierter Impuls ir,Schockwellengeschwindigkeit u,Ankunftszeit ta,Dauer der Druckphase td
1,3.9,48.79405387,116.2969354,50.94352078,109.5073041,404.1985029,6.143459714,3.034098069,68.13161364,171.933534,73.74269824,165.9021268,427.7295079,5.546849951,3.378881909
1,4,46.54425289,110.0614191,49.79436897,106.4727581,401.4746472,6.395027363,3.064887687,64.90654245,162.2029016,72.13172453,161.2120856,423.9746808,5.782933703,3.424369985
1,4.1,44.4687789,104.3809517,48.69574608,103.6001131,398.9488554,6.64846103,3.09474442,61.93591531,153.3709465,70.59254693,156.7761212,420.4827684,6.021192971,3.467687224
1,4.2,42.54979932,99.19134926,47.64432832,100.8768442,396.6024555,6.903638365,3.123766277,59.19319386,145.3303335,69.11991437,152.5743624,417.2297619,6.261502941,3.509019406
1,4.3,40.7716928,94.43730324,46.63709456,98.29167768,394.4188293,7.160444036,3.152034956,56.65518882,137.9889679,67.7091214,148.5889391,414.1942908,6.503745473,3.548535123
1,4.4,39.1207308,90.07097119,45.67129001,95.83443867,392.3831559,7.418769387,3.17961875,54.30157149,131.2675264,66.35593774,144.8037381,411.357289,6.747808844,3.586387321
1,4.5,37.58481115,86.05081755,44.74439532,93.49592168,390.4821916,7.678512112,3.206574927,52.11446541,125.0974328,65.0565483,141.2041943,408.7017089,6.993587477,3.62271472
1,4.6,36.15323381,82.34065632,43.85410007,91.26777823,388.7040797,7.93957593,3.232951686,50.07810351,119.4191912,63.80750183,137.7771096,406.2122745,7.24098168,3.657643144
1,4.7,34.81651175,78.90885672,42.99828004,89.14241996,387.0381863,8.201870284,3.25878976,48.17853931,114.181008,62.60566693,134.510498,403.8752696,7.489897384,3.691286728
1,4.8,33.56621066,75.72768129,42.17497755,87.11293447,385.4749587,8.465310041,3.284123736,46.40340266,109.3376468,61.44819425,131.3934501,401.6783531,7.740245883,3.723749032
1,4.9,32.39481265,72.77273211,41.38238438,85.17301207,384.0058007,8.729815214,3.308983139,44.74169247,104.8494744,60.33248381,128.4160155,399.6104006,7.991943585,3.755124048
1,5,31.2956,70.02248562,40.61882694,83.31688182,382.6229656,8.995310682,3.333393318,43.1836002,100.6816619,59.25615687,125.5691009,397.6613644,8.244911758,3.785497116
1,5.1,30.26255561,67.45790044,39.88275324,81.53925548,381.3194616,9.261725941,3.357376184,41.72035915,96.80351326,58.21703146,122.8443795,395.822154,8.4990763,3.814945759
1,5.2,29.29027754,65.06208548,39.17272148,79.83527833,380.0889692,9.528994846,3.380950812,40.34411518,93.1878993,57.21310111,120.2342134,394.0845292,8.754367497,3.843540431
1,5.3,28.37390537,62.82001815,38.48738994,78.20048583,378.9257691,9.79705538,3.404133933,39.04781573,89.81077888,56.24251633,117.7315832,392.4410083,9.010719805,3.871345196
1,5.4,27.50905661,60.71830419,37.82550809,76.6307654,377.8246779,10.06584943,3.42694035,37.82511403,86.65079209,55.30356846,115.3300277,390.8847868,9.268071631,3.89841834
1,5.5,26.6917716,58.74497249,37.18590867,75.12232249,376.7809921,10.33532257,3.449383268,36.67028637,83.6889139,54.3946754,113.0235895,389.4096657,9.526365126,3.924812925
1,5.6,25.91846562,56.88929905,36.56750059,73.67165062,375.7904385,10.60542385,3.471474576,35.57816035,80.90815809,53.51436924,110.8067674,388.0099888,9.785545984,3.950577286
1,5.7,25.18588724,55.14165564,35.96926267,72.27550463,374.8491298,10.87610562,3.493225072,34.54405252,78.29332354,52.66128521,108.6744733,386.680587,10.04556325,3.975755477
1,5.8,24.49108186,53.49337927,35.39023792,70.9308769,373.9535261,11.14732333,3.51464465,33.56371403,75.83077618,51.83415202,106.6219949,385.4167294,10.30636914,4.000387681
1,5.9,23.83135987,51.93665924,34.82952851,69.63497608,373.1003996,11.41903537,3.535742459,32.63328319,73.50826089,51.03178327,104.6449615,384.2140791,10.56791887,4.024510568
1,6,23.20426868,50.46443921,34.28629115,68.38520808,372.2868043,11.69120289,3.55652702,31.74924391,71.31473905,50.25306987,102.7393136,383.0686553,10.83017047,4.048157628
1,6.1,22.60756812,49.07033207,33.75973294,67.179159,371.5100479,11.96378964,3.577006341,30.90838922,69.24024761,49.4969732,100.9012764,381.9767983,11.09308466,4.071359464
1,6.2,22.03920875,47.74854565,33.24910763,66.01457982,370.7676679,12.23676186,3.597187992,30.10778915,67.27577673,48.76251916,99.12733489,380.9351392,11.35662466,4.09414406
1,6.3,21.49731274,46.49381787,32.75371219,64.88937262,370.0574088,12.51008808,3.61707918,29.34476252,65.41316309,48.04879271,97.41421211,379.9405723,11.62075606,4.116537026
1,6.4,20.98015691,45.30135989,32.2728837,63.80157813,369.3772033,12.78373905,3.636686803,28.61685191,63.64499684,47.35493308,95.75884956,378.9902309,11.88544672,4.138561806
1,6.5,20.48615766,44.16680624,31.80599654,62.74936451,368.7251539,13.05768754,3.656017495,27.92180155,61.96454006,46.6801294,94.15838928,378.0814655,12.15066658,4.160239883
1,6.6,20.01385766,43.08617085,31.35245978,61.73101718,368.0995176,13.3319083,3.675077667,27.25753769,60.36565529,46.02361686,92.61015777,377.2118238,12.41638756,4.181590955
1,6.7,19.56191393,42.05580841,30.91171481,60.74492963,367.4986914,13.6063779,3.693873531,26.62215123,58.84274263,45.38467311,91.11165144,376.3790336,12.68258348,4.202633091
1,6.8,19.12908722,41.07238008,30.48323319,59.78959508,366.9211996,13.88107463,3.712411129,26.01388212,57.39068441,44.76261517,89.66052335,375.5809869,12.94922989,4.223382881
1,6.9,18.71423255,40.13282325,30.06651461,58.86359884,366.3656822,14.15597839,3.730696348,25.43110557,56.00479629,44.15679649,88.25457124,374.8157254,13.21630401,4.243855563
1,7,18.31629071,39.2343246,29.6610851,57.96561144,365.8308846,14.43107064,3.748734938,24.8723197,54.68078398,43.56660438,86.89172657,374.0814279,13.48378461,4.264065148
1,7.1,17.93428064,38.37429629,29.2664953,57.09438231,365.315648,14.70633426,3.766532522,24.33613439,53.41470494,42.99145762,85.57004458,373.3763989,13.75165192,4.284024522
1,7.2,17.56729262,37.55035458,28.88231892,56.24873405,364.8189013,14.98175347,3.784094608,23.82126145,52.20293428,42.43080433,84.28769522,372.6990579,14.01988754,4.303745546
1,7.3,17.21448208,36.76030094,28.50815129,55.42755714,364.3396532,15.2573138,3.801426593,23.32650564,51.04213456,41.88411994,83.04295481,372.0479302,14.28847437,4.323239146
1,7.4,16.87506412,36.00210502,28.14360802,54.62980517,363.876985,15.53300192,3.818533769,22.8507567,49.92922872,41.35090546,81.83419852,371.421638,14.5573965,4.342515391
1,7.5,16.54830846,35.27388949,27.78832378,53.85449038,363.4300449,15.80880569,3.835421328,22.3929821,48.86137602,40.83068578,80.65989334,370.8188932,14.82663919,4.361583569
1,7.6,16.23353493,34.57391644,27.44195111,53.10067967,362.9980418,16.08471398,3.852094367,21.95222055,47.83595048,40.32300821,79.51859177,370.2384898,15.09618873,4.380452252
1,7.7,15.9301094,33.90057509,27.10415943,52.36749085,362.5802405,16.36071668,3.868557884,21.52757608,46.85052156,39.82744103,78.40892594,369.6792979,15.36603242,4.399129357
1,7.8,15.6374401,33.25237086,26.77463395,51.65408923,362.1759565,16.63680459,3.884816787,21.11821277,45.90283685,39.34357223,77.32960222,369.1402576,15.63615851,4.4176222
1,7.9,15.35497418,32.62791541,26.45307486,50.95968447,361.7845525,16.91296941,3.90087589,20.72334987,44.99080654,38.87100837,76.27939629,368.6203742,15.9065561,4.435937549
1,8,15.08219474,32.0259177,26.13919637,50.28352769,361.4054336,17.18920365,3.916739914,20.34225747,44.11248934,38.40937343,75.25714855,368.1187126,16.17721514,4.454081666
1,8.1,14.81861802,31.44517594,25.83272599,49.62490879,361.0380447,17.46550059,3.932413491,19.9742525,43.26607994,37.95830786,74.26175997,367.6343936,16.44812632,4.472060353
1,8.2,14.56379084,30.88457025,25.53340374,48.98315397,360.6818664,17.74185423,3.947901161,19.61869512,42.44989754,37.51746759,73.29218812,367.1665896,16.71928107,4.489878987
1,8.3,14.31728836,30.34305604,25.24098146,48.35762346,360.336413,18.01825927,3.963207371,19.27498543,41.6623756,37.08652323,72.34744366,366.714521,16.99067147,4.507542555
1,8.4,14.07871189,29.81965802,24.95522217,47.74770939,360.0012289,18.29471103,3.978336479,18.94256046,40.90205251,36.66515918,71.42658696,366.2774524,17.26229024,4.525055689
1,8.5,13.84768705,29.31346473,24.67589944,47.15283382,359.6758868,18.57120541,3.993292751,18.62089144,40.16756315,36.25307299,70.52872509,365.8546903,17.5341307,4.54242269
1,8.6,13.62386195,28.82362356,24.40279687,46.57244696,359.3599853,18.8477389,4.008080364,18.30948128,39.4576312,35.84997457,69.65300888,365.4455795,17.80618669,4.559647559
1,8.7,13.40690558,28.34933626,24.13570749,46.00602546,359.053147,19.12430847,4.022703401,18.00786229,38.77106219,35.45558557,68.79863037,365.0495011,18.07845256,4.576734019
1,8.8,13.19650635,27.88985479,23.8744333,45.45307082,358.7550161,19.40091163,4.037165858,17.71559409,38.1067372,35.06963881,67.96482026,364.6658696,18.35092316,4.593685539
1,8.9,12.99237073,27.44447756,23.6187848,44.91310798,358.4652575,19.67754629,4.051471637,17.43226166,37.46360701,34.69187768,67.15084572,364.2941311,18.62359376,4.610505351
1,9,12.79422197,27.01254602,23.36858053,44.38568392,358.1835548,19.95421082,4.065624552,17.15747357,36.84068694,34.32205558,66.35600819,363.933761,18.89646006,4.627196475
1,9.1,12.60179899,26.59344147,23.12364667,43.87036643,357.9096088,20.23090397,4.079628328,16.89086039,36.23705195,33.9599355,65.57964144,363.5842623,19.16951811,4.643761728
1,9.2,12.41485528,26.18658221,22.88381666,43.36674292,357.6431365,20.50762486,4.0934866,16.63207316,35.65183232,33.60528948,64.82110975,363.2451637,19.44276435,4.660203748
1,9.3,12.23315798,25.79142089,22.6489308,42.8744193,357.3838697,20.78437297,4.107202914,16.38078203,35.0842096,33.25789822,64.07980612,362.9160181,19.71619553,4.676525001
1,9.4,12.05648692,25.40744207,22.41883596,42.393019,357.131554,21.06114808,4.120780728,16.13667499,34.53341295,32.91755066,63.35515073,362.5964013,19.98980871,4.6927278
1,9.5,11.88463381,25.03416004,22.19338518,41.92218197,356.8859477,21.33795028,4.134223415,15.8994567,33.99871573,32.58404357,62.64658942,362.2859103,20.26360123,4.708814316
1,9.6,11.7174015,24.67111668,21.97243746,41.4615638,356.6468213,21.61477991,4.14753426,15.66884739,33.47943247,32.2571812,61.9535923,361.9841621,20.53757071,4.724786585
1,9.7,11.55460322,24.31787969,21.75585737,41.01083488,356.4139558,21.8916376,4.160716464,15.4445819,32.97491595,31.93677496,61.27565241,361.6907928,20.81171498,4.740646524
1,9.8,11.39606196,23.97404075,21.54351488,40.56967962,356.187143,22.16852419,4.173773142,15.22640873,32.48455464,31.62264305,60.61228455,361.4054562,21.08603211,4.756395937
1,9.9,11.24160984,23.63921397,21.335285,40.13779572,355.9661838,22.44544076,4.186707327,15.01408917,32.00777026,31.31461021,59.96302406,361.1278229,21.36052038,4.772036527
1,10,11.09108755,23.3130344,21.13104762,39.71489344,355.7508884,22.72238856,4.199521971,14.80739653,31.54401558,31.01250737,59.3274258,360.8575793,21.63517825,4.787569898
2,1,1547.304504,9588.223214,246.6714579,957.619601,1270.099503,0.437286455,1.654183521,2168.29552,14697.7871,251.9826584,1530.033333,1488.4927,0.390505761,1.000807519
2,1.1,1260.332606,7368.397919,239.7207431,842.5462977,1156.298111,0.520835508,2.043984634,1795.855774,11613.9815,273.6947431,1340.847129,1362.77263,0.461799368,1.370184641
2,1.2,1041.50749,5758.927839,227.8610007,750.8153546,1061.058403,0.611921212,2.20876338,1502.733769,9274.995345,298.4823017,1190.629861,1254.251878,0.53944444,1.849182206
2,1.3,871.8058357,4570.974462,214.5181123,676.1631645,980.7227929,0.710451404,2.282882631,1269.39769,7481.654542,294.6571003,1068.817668,1160.302842,0.623464811,2.347341869
2,1.4,738.1981384,3679.682681,201.3473753,614.3480201,912.4625886,0.816305701,2.295202848,1081.741686,6093.165603,284.0504788,968.282517,1078.738307,0.713853525,2.605427862
2,1.5,631.5693299,3000.831138,189.0599392,562.4036016,854.0674646,0.929340734,2.262927057,929.396931,5008.244397,271.5148163,884.0561096,1007.71687,0.810576548,2.726162726
2,1.6,545.4204784,2476.559279,177.8955955,518.1980806,803.7945152,1.049394655,2.210977107,804.6326553,4153.076988,258.4394006,812.5787497,945.6834092,0.913576216,2.783756471
2,1.7,475.0377007,2066.441065,167.8721036,480.1629665,760.2578862,1.176291004,2.161605935,701.6154213,3473.304803,245.5987441,751.238825,891.3245309,1.022774419,2.792373632
2,1.8,416.9481247,1741.787271,158.91125,447.1204605,722.346954,1.309842039,2.127358781,615.896785,2928.53382,233.3936395,698.0804348,843.5317433,1.138075511,2.763639486
2,1.9,368.5564888,1481.940335,150.9005719,418.1701731,689.1650104,1.449851591,2.111781541,544.0519077,2488.498891,222.0052118,651.6120645,801.3698649,1.259368963,2.714452056
2,2,327.897896,1271.823253,143.7223904,392.6128118,659.9828959,1.596117512,2.113172086,483.4206603,2130.346812,211.4894671,610.6780234,764.0497613,1.386531774,2.661426249
2,2.1,293.4667432,1100.292045,137.2665216,369.8975646,634.2036521,1.748433759,2.128226417,431.9197586,1836.691343,201.8339355,574.3700121,730.9049576,1.51943064,2.616364942
2,2.2,264.0965132,959.0117684,131.4350003,349.5850639,611.3353684,1.906592171,2.154569247,387.9049289,1594.208629,192.991004,541.9650143,701.3717467,1.657923909,2.585295645
2,2.3,238.8740939,841.6789496,126.1430213,331.320831,590.9701754,2.070383973,2.192022421,350.0687839,1392.615061,184.8971887,512.8808584,674.97241,1.801863333,2.569683922
2,2.4,217.0778966,743.4765847,121.3181983,314.8159142,572.7678798,2.23960104,2.242693821,317.3644765,1223.918127,177.4840254,486.6438827,651.3011518,1.951095628,2.568284595
2,2.5,198.1326137,660.6874238,116.8991781,299.832559,556.4431303,2.414036956,2.31004428,288.9481499,1081.86362,170.6840079,462.8650484,630.0123648,2.105463854,2.578833378
2,2.6,181.5757598,590.4163627,112.834104,286.173455,541.7552872,2.5934879,2.397062703,264.1352167,961.525022,164.4336279,441.222048,610.8108688,2.26480864,2.599309947
2,2.7,167.0326659,530.3889677,109.0791521,273.6735649,528.5003767,2.777753362,2.503510351,242.3668973,858.9965366,158.6747438,421.4457344,593.4438047,2.428969256,2.628721226
2,2.8,154.1976016,478.8037336,105.5972298,262.1938445,516.5046615,2.966636745,2.622004249,223.1844301,771.1621248,153.3550015,403.3097066,577.693906,2.597784556,2.667419719
2,2.9,142.8193919,434.2226782,102.3568571,251.6163646,505.619473,3.159945831,2.737041539,206.2090602,695.520645,148.4277417,386.6222339,563.3739123,2.771093788,2.716997692
2,3,132.6903612,395.4895714,99.33122625,241.8404841,495.7170342,3.357493163,2.838695622,191.1264111,630.0526441,143.8516417,371.2199299,550.3219268,2.948737305,2.779811106
2,3.1,123.6377648,361.6682792,96.49741886,232.7798209,486.6870647,3.559096329,2.930830485,177.6742043,573.1182628,139.5902409,356.9627531,538.3975514,3.130557167,2.858174867
2,3.2,115.5170971,331.995885,93.83575902,224.3598347,478.4340069,3.764578179,3.014598316,165.6325512,523.3785211,135.6114299,343.7300218,527.4786634,3.316397657,2.953224344
2,3.3,108.2068255,305.8467628,91.32928011,216.5158812,470.8747483,3.97376698,3.091045234,154.816235,479.7342748,131.8869509,331.4172122,517.4587217,3.506105716,3.063376864
2,3.4,101.6042196,282.7048357,88.96328581,209.1916364,463.9367418,4.186496507,3.161106136,145.0685409,441.2786072,128.3919309,319.9333678,508.2445091,3.699531301,3.182307719
2,3.5,95.62202414,262.1419997,86.72498859,202.3378101,457.5564472,4.402606104,3.225606991,136.2562972,407.259491,125.104458,309.1989875,499.7542357,3.896527691,3.296479059
2,3.6,90.18578949,243.801229,84.60321152,195.9110901,451.6780335,4.621940691,3.285271424,128.26587,377.0503464,122.005204,299.1442937,491.9159415,4.09695172,3.415954107
2,3.7,85.2317171,227.3832589,82.5881418,189.8732692,446.2522929,4.844350748,3.340729471,120.9999114,350.1267032,119.0770926,289.7078036,484.6661464,4.300663974,3.501316968
2,3.8,80.70491019,212.636025,80.67112652,184.1905206,441.2357287,5.069692267,3.392527182,114.3747076,326.047607,116.3050089,280.8351433,477.948707,4.507528933,3.582226444
2,3.9,76.55794641,199.346236,78.844503,178.832792,436.5897864,5.297826688,3.441136236,108.3180056,304.4407296,113.675547,272.4780579,471.7138451,4.717415081,3.658969357
2,4,72.74970696,187.3326139,77.10145725,173.7732977,432.2802017,5.528620804,3.486963095,102.7672254,284.9903895,111.1767912,264.5935822,465.9173201,4.930194978,3.731820281
2,4.1,69.24441149,176.4404385,75.43590567,168.9880894,428.2764477,5.761946664,3.53035743,97.66798129,267.4278681,108.798127,257.143341,460.5197215,5.145745305,3.801040258
2,4.2,66.01081897,166.5371251,73.84239575,164.4556929,424.5512619,5.997681456,3.571619731,92.97285595,251.5235454,106.5300769,250.0929577,455.4858635,5.363946878,3.866876104
2,4.3,63.02156298,157.5086194,72.31602241,160.1567989,421.0802424,6.235707384,3.611008051,88.64037808,237.0804856,104.3641596,243.4115508,450.7842637,5.58468465,3.929560152
2,4.4,60.25259651,149.2564451,70.85235733,156.0739988,417.8415008,6.475911532,3.648743941,84.63416792,223.9291833,102.292767,237.0713046,446.386695,5.80784768,3.989310318
2,4.5,57.68272631,141.6952761,69.44738902,152.1915579,414.8153629,6.718185733,3.685017612,80.92221976,211.9232416,100.3090586,231.0471006,442.2677982,6.033329095,4.046330404
2,4.6,55.29322085,134.7509292,68.09747178,148.4952203,411.9841104,6.962426422,3.719992412,77.47629757,200.9358029,98.40686973,225.3162016,438.4047462,6.261026041,4.100810562
2,4.7,53.06747895,128.3586996,66.79928211,144.9720405,409.3317567,7.208534493,3.753808687,74.27142414,190.8565901,96.58063179,219.8579777,434.7769528,6.490839609,4.152927865
2,4.8,50.99074884,122.4619735,65.54978136,141.6102369,406.843852,7.456415158,3.786587094,71.28544771,181.589444,94.8253031,214.6536697,431.3658193,6.722674766,4.202846955
2,4.9,49.04988898,117.0110676,64.3461836,138.3990646,404.5073138,7.705977794,3.818431452,68.49867336,173.0502669,93.1363087,209.6861837,428.1545131,6.95644027,4.250720725
2,5,47.23316384,111.9622552,63.18592786,135.3287051,402.3102781,7.957135807,3.849431178,65.8935483,165.1652988,91.50948786,204.9399113,425.1277743,7.192048579,4.296691014
2,5.1,45.53006901,107.2769452,62.06665411,132.3901685,400.2419695,8.209806479,3.879663371,63.45439251,157.869667,89.94104822,200.4005733,422.2717464,7.429415758,4.340889307
2,5.2,43.93118088,102.9209881,60.98618235,129.5752089,398.2925868,8.463910834,3.909194592,61.16716749,151.106163,88.42752569,196.0550818,419.5738268,7.668461378,4.383437419
2,5.3,42.42802716,98.8640872,59.94249444,126.876249,396.4532025,8.719373491,3.938082392,59.01927712,144.8242069,86.96574932,191.8914195,417.0225364,7.909108419,4.424448153
2,5.4,41.01297488,95.07929737,58.93371812,124.2863146,394.715674,8.976122534,3.966376607,56.99939574,138.9789672,85.55281045,187.8985334,414.6074035,8.15128316,4.464025937
2,5.5,39.67913346,91.542597,57.95811304,121.7989758,393.0725648,9.23408937,3.994120473,55.0973194,133.5306121,84.18603556,184.0662406,412.3188617,8.394915081,4.502267426
2,5.6,38.42027038,88.23252165,57.01405845,119.408295,391.5170748,9.493208606,4.021351575,53.30383667,128.443669,82.86296237,180.3851447,410.1481596,8.639936754,4.539262071
